word	definition	part	chapter	author
(ina) kīma inanna	right now	adverb	17	huehnergard
abum (b.f. abi, pl. abbū)	father (log. A.BA)	noun	1	huehnergard
ālum (b.f. āl[i], pl.: nom. ālānū/ālānû, gen.-acc. ālānī/ālānê) 	town, city	noun	1	huehnergard
amtum (b.f. amat)	female slave, womanservant (log. GEME_2, SAG.GEME_2)	noun	1	huehnergard
bēlum (b.f. bēl[i])	lord, master, owner (log. EN)	noun	1	huehnergard
ḫurāṣum (b.f. ḫurāṣ)	gold (log. KUG.SIG_17 [also read KUG.GUŠKIN])	noun	1	huehnergard
iltum (b.f. ilat) 	goddess	noun	1	huehnergard
ilum (b.f. il[i]) 	god (log. DINGIR)	noun	1	huehnergard
kaspum (b.f. kasap) 	silver (log. KUG.BABBAR)	noun	1	huehnergard
mārtum (b.f. mārat)	 daughter (log. DUMU.MUNUS)	noun	1	huehnergard
mārum (b.f. mār[i]) 	son (log. DUMU)	noun	1	huehnergard
qaqqadum (b.f. qaqqad) 	head, top; person; principal (amount) (log. SAG.DU)	noun	1	huehnergard
ṣābum (b.f. ṣāb[i]) 	gang, army, troop(s); worker, soldier (log. ERIN_2 [or ERIM])	noun	1	huehnergard
šarratum (b.f. šarrat) 	queen	noun	1	huehnergard
šarrum (b.f. šar[ri]) 	king (log. LUGAL)	noun	1	huehnergard
wardum (b.f. warad)	 male servant, manservant (log. ÌR [also read ARAD]; SAG.ÌR [or SAG.ARAD])	noun	1	huehnergard
ana	prep. to, toward, unto, for; temporally, for, (with)in; w/infinitive: in order to	preposition	2	huehnergard
bītum (b.f. bīt[i]; pl. bītātum [fem.])	masc. house, estate, household (log. É; É.BABBAR = Ebabbar, the temple of Šamaš in the city of Sippar)	noun	2	huehnergard
emūqum (ms)/emūqān (md)/emūqū (mp)/emūqātum (fp) (b.f. emūq) 	strength, power, force, ability; armed forces; value (d/p same meaning)	noun	2	huehnergard
ina	§in, into, at, among; with (things), by means of, by; from, from within (a place, with verbs of motion and of taking, seizing; see §§5.6); temporally, in, on, at the time of; w/infinitive: when, while, by§	preposition	2	huehnergard
īnum (f.; b.f. īn[i]) 	eye; spring (log. IGI)	noun	2	huehnergard
